Squad,Pts
Manchester Utd,46610.1
Arsenal,37915.21
Newcastle Utd,37096.71
Liverpool,36318.76
Leeds United,35933.74
Everton,31766.19
Aston Villa,31178.14
Tottenham,28929.48
Sheffield Weds,28769.21
Blackburn,27482.12
Manchester City,24577.17
Nott'ham Forest,24413.83
Chelsea,23559.29
Leicester City,22918.69
West Ham,21424.19
Norwich City,20985.02
Ipswich Town,19781.64
Crystal Palace,17489.07
Southampton,17102.29
QPR,17061.43
Coventry City,16752.19
Wimbledon,12088.33
Brighton,388.0
Wolves,343.0
Burnley,336.0
Watford,228.0
Bournemouth,217.0
Fulham,153.0
Brentford,142.0
West Brom,114.0
Huddersfield,106.0
Cardiff City,68.0
Stoke City,66.0
Swansea City,66.0
Sheffield Utd,46.0
