Squad,Pts_2023,Pts_2022,Pts_2021,Pts_2019,Pts_2020,Total_Pts
Manchester City,79.0,93.0,86.0,100.0,98.0,456.0
Liverpool,59.0,92.0,69.0,75.0,97.0,392.0
Manchester United,63.0,58.0,74.0,81.0,66.0,342.0
Arsenal,78.0,69.0,61.0,63.0,70.0,341.0
Tottenham,54.0,71.0,62.0,77.0,71.0,335.0
Chelsea,39.0,74.0,67.0,70.0,72.0,322.0
West Ham,34.0,56.0,65.0,42.0,52.0,249.0
Newcastle United,65.0,49.0,45.0,44.0,45.0,248.0
Leicester City,30.0,52.0,66.0,47.0,52.0,247.0
Everton,29.0,39.0,59.0,49.0,54.0,230.0
Crystal Palace,40.0,48.0,44.0,44.0,49.0,225.0
Brighton,52.0,51.0,41.0,40.0,36.0,220.0
Wolves,37.0,51.0,45.0,,57.0,190.0
Southampton,24.0,40.0,43.0,36.0,39.0,182.0
Burnley,,35.0,39.0,54.0,40.0,168.0
Aston Villa,54.0,45.0,55.0,,,154.0
Bournemouth,39.0,,,44.0,45.0,128.0
Leeds United,30.0,38.0,59.0,,,127.0
Watford,,23.0,,41.0,50.0,114.0
Fulham,45.0,,28.0,,26.0,99.0
Brentford,50.0,46.0,,,,96.0
West Brom,,,26.0,31.0,,57.0
Huddersfield,,,,37.0,16.0,53.0
Cardiff City,,,,,34.0,34.0
Stoke City,,,,33.0,,33.0
Swansea City,,,,33.0,,33.0
Nott'ham Forest,30.0,,,,,30.0
Sheffield United,,,23.0,,,23.0
Norwich City,,22.0,,,,22.0
